Fecha,Incremento_muertos,Muertos,Muertos_millon,Incremento_confirmados,Confirmados
01/03/2022,0,35.223,"2.011,48",0,827.76
28/02/2022,0,35.223,"2.011,48",0,827.76
27/02/2022,0,35.223,"2.011,48",0,827.76
26/02/2022,0,35.223,"2.011,48",0,827.76
25/02/2022,0,35.223,"2.011,48",0,827.76
24/02/2022,51,35.223,"2.011,48",7.219,827.76
23/02/2022,0,35.172,"2.008,57",0,820.541
22/02/2022,12,35.172,"2.008,57",655,820.541
21/02/2022,55,35.16,"2.007,88",10.961,819.886
20/02/2022,0,35.105,"2.004,74",0,808.925
19/02/2022,0,35.105,"2.004,74",0,808.925
18/02/2022,0,35.105,"2.004,74",0,808.925
17/02/2022,67,35.105,"2.004,74",8.605,808.925
16/02/2022,0,35.038,"2.000,91",0,800.32
15/02/2022,2,35.038,"2.000,91",1.18,800.32
14/02/2022,182,35.036,"2.000,80",17.67,799.14
13/02/2022,0,34.854,"1.990,41",0,781.47
12/02/2022,0,34.854,"1.990,41",0,781.47
11/02/2022,0,34.854,"1.990,41",0,781.47
10/02/2022,115,34.854,"1.990,41",12.321,781.47
09/02/2022,0,34.739,"1.983,84",0,769.149
08/02/2022,0,34.739,"1.983,84",0,769.149
07/02/2022,0,34.739,"1.983,84",0,769.149
06/02/2022,9,34.739,"1.983,84",2.751,769.149
05/02/2022,14,34.73,"1.983,32",5.077,766.398
04/02/2022,40,34.716,"1.982,53",8.686,761.321
03/02/2022,37,34.676,"1.980,24",6.816,752.635
02/02/2022,67,34.639,"1.978,13",6.522,745.819
01/02/2022,39,34.572,"1.974,30",7.259,739.297
31/01/2022,19,34.533,"1.972,07",2.278,732.038
30/01/2022,1,34.514,"1.970,99",3.824,729.76
29/01/2022,24,34.513,"1.970,93",8.851,725.936
28/01/2022,47,34.489,"1.969,56",9.861,717.085
27/01/2022,22,34.442,"1.966,88",9.615,707.224
26/01/2022,58,34.42,"1.965,62",5.711,697.609
25/01/2022,24,34.362,"1.962,31",7.83,691.898
24/01/2022,9,34.338,"1.960,94",2.686,684.068
23/01/2022,14,34.329,"1.960,42",6.419,681.382
22/01/2022,28,34.315,"1.959,63",10.299,674.963
21/01/2022,8,34.287,"1.958,03",6.619,664.664
20/01/2022,32,34.279,"1.957,57",8.488,658.045
19/01/2022,10,34.247,"1.955,74",10.422,649.557
18/01/2022,5,34.237,"1.955,17",9.628,639.135
17/01/2022,5,34.232,"1.954,89",4.448,629.507
16/01/2022,8,34.227,"1.954,60",11.027,625.059
15/01/2022,13,34.219,"1.954,14",11.09,614.032
14/01/2022,17,34.206,"1.953,40",9.278,602.942
13/01/2022,27,34.189,"1.952,43",4.793,593.664
12/01/2022,40,34.162,"1.950,89",10.346,588.871
11/01/2022,409,34.122,"1.948,60",9.341,578.525
10/01/2022,4,33.713,"1.925,25",1.852,569.184
09/01/2022,3,33.709,"1.925,02",3.094,567.332
08/01/2022,4,33.706,"1.924,85",2.953,564.238
07/01/2022,3,33.702,"1.924,62",1.335,561.285
06/01/2022,0,33.699,"1.924,45",2.677,559.95
05/01/2022,9,33.699,"1.924,45",2.837,557.273
04/01/2022,4,33.69,"1.923,93",1.235,554.436
03/01/2022,3,33.686,"1.923,71",877,553.201
02/01/2022,1,33.683,"1.923,53",704,552.324
01/01/2022,1,33.682,"1.923,48",2.202,551.62
31/12/2021,9,33.681,"1.923,42",2.232,549.418
30/12/2021,3,33.672,"1.922,91",1.386,547.186
29/12/2021,13,33.669,"1.922,73",1.697,545.8
28/12/2021,6,33.656,"1.921,99",1.143,544.103
27/12/2021,1,33.65,"1.921,65",619,542.96
26/12/2021,1,33.649,"1.921,59",259,542.341
25/12/2021,1,33.648,"1.921,54",714,542.082
24/12/2021,6,33.647,"1.921,48",1.246,541.368
23/12/2021,7,33.641,"1.921,14",1.085,540.122
22/12/2021,10,33.634,"1.920,74",819,539.037
21/12/2021,10,33.624,"1.920,16",998,538.218
20/12/2021,17,33.614,"1.919,59",188,537.22
19/12/2021,0,33.597,"1.918,62",256,537.032
18/12/2021,4,33.597,"1.918,62",647,536.776
17/12/2021,7,33.593,"1.918,39",715,536.129
16/12/2021,5,33.586,"1.917,99",657,535.414
15/12/2021,11,33.581,"1.917,71",581,534.757
14/12/2021,8,33.57,"1.917,08",588,534.176
13/12/2021,1,33.562,"1.916,62",131,533.588
12/12/2021,3,33.561,"1.916,57",267,533.457
11/12/2021,10,33.558,"1.916,40",760,533.19
10/12/2021,41,33.548,"1.915,82",623,532.43
09/12/2021,9,33.507,"1.913,48",942,531.807
08/12/2021,4,33.498,"1.912,97",739,530.865
07/12/2021,6,33.494,"1.912,74",670,530.126
06/12/2021,4,33.488,"1.912,40",107,529.456
05/12/2021,0,33.484,"1.912,17",175,529.349
04/12/2021,37,33.484,"1.912,17",584,529.174
03/12/2021,82,33.447,"1.910,06",489,528.59
02/12/2021,50,33.365,"1.905,37",413,528.101
01/12/2021,19,33.315,"1.902,52",355,527.688
30/11/2021,46,33.296,"1.901,43",463,527.333
29/11/2021,16,33.25,"1.898,81",70,526.87
28/11/2021,15,33.234,"1.897,89",185,526.8
27/11/2021,34,33.219,"1.897,04",478,526.615
26/11/2021,18,33.185,"1.895,09",307,526.137
25/11/2021,23,33.167,"1.894,07",432,525.83
24/11/2021,13,33.144,"1.892,75",513,525.398
23/11/2021,3,33.131,"1.892,01",453,524.885
22/11/2021,3,33.128,"1.891,84",79,524.432